запись %d без NUL: ран %u байт ≥ 118 — rep movsb 0x4DFD94 в буфер стека затирает сохранённые регистры/адрес возврата → краш	record %d without NUL: run of %u bytes ≥ 118 — rep movsb 0x4DFD94 into the stack buffer overwrites saved registers / return address → crash	registro %d sin NUL: tramo de %u bytes ≥ 118 — rep movsb 0x4DFD94 al búfer de pila sobrescribe registros guardados / dirección de retorno → crash
запись %d без NUL в 52 байтах — strlen склеивает имя со следующей записью → файл не найден (AUD-14)	record %d without NUL within 52 bytes — strlen glues the name to the next record → file not found (AUD-14)	registro %d sin NUL en 52 bytes — strlen pega el nombre al registro siguiente → archivo no encontrado (AUD-14)
audio/SFX/%s не найден — CdStreamOpen → 0: банки %d..%d читаются через handle 0 (%s) → не те сэмплы / тишина	audio/SFX/%s not found — CdStreamOpen → 0: banks %d..%d are read through handle 0 (%s) → wrong samples / silence	audio/SFX/%s no encontrado — CdStreamOpen → 0: los bancos %d..%d se leen por el handle 0 (%s) → muestras equivocadas / silencio
банк %d: pakFileIndex %d ≥ числа паков %d — m_paStreamHandles[pak] за блоком → мусорный handle, банк не грузится (тишина)	bank %d: pakFileIndex %d ≥ number of paks %d — m_paStreamHandles[pak] past the block → garbage handle, bank never loads (silence)	banco %d: pakFileIndex %d ≥ número de paks %d — m_paStreamHandles[pak] fuera del bloque → handle basura, el banco nunca carga (silencio)
банк %d: offset %u + 0x12C4 + size %u > размера %s (%llu) — CdStreamRead за EOF: устаревшие данные буфера / запрос не завершается	bank %d: offset %u + 0x12C4 + size %u > size of %s (%llu) — CdStreamRead past EOF: stale buffer data / request never completes	banco %d: offset %u + 0x12C4 + size %u > tamaño de %s (%llu) — CdStreamRead más allá del EOF: datos viejos del búfer / la petición nunca termina
%s банк %d	%s bank %d	%s banco %d
numSounds %d > 400 — следующее смещение для звука 399 заворачивается через %%400 → отрицательная длина	numSounds %d > 400 — the next offset for sound 399 wraps through %%400 → negative length	numSounds %d > 400 — el siguiente offset del sonido 399 da la vuelta por %%400 → longitud negativa
numSounds %d < 0 — GetSoundBuffer всегда 0: немой банк	numSounds %d < 0 — GetSoundBuffer always 0: mute bank	numSounds %d < 0 — GetSoundBuffer siempre 0: banco mudo
таблица звуков: смещения %s — soundSize = next − this заворачивается в огромное uint → %s	sound table: offsets %s — soundSize = next − this wraps to a huge uint → %s	tabla de sonidos: offsets %s — soundSize = next − this da la vuelta a un uint enorme → %s
не неубывающие	not non-decreasing	no monótonos
последнее больше size	last one larger than size	el último mayor que size
Malloc(huge) / копия state 3 в слот речи → краш	Malloc(huge) / state-3 copy into the speech slot → crash	Malloc(enorme) / copia del estado 3 al slot de voz → crash
отрицательная длина каналу	negative length handed to the channel	longitud negativa entregada al canal
в банке %d звуков, в ванили %d — exe зашивает id звуков по банку: LoadSound с soundId ≥ numSounds берёт неинициализированную запись таблицы → soundSize = весь банк (%u байт)%s	%d sounds in the bank, %d in vanilla — the exe hard-codes sound ids per bank: LoadSound with soundId ≥ numSounds takes an uninitialised table entry → soundSize = the whole bank (%u bytes)%s	%d sonidos en el banco, %d en vanilla — el exe fija los id de sonido por banco: LoadSound con soundId ≥ numSounds toma una entrada de tabla sin inicializar → soundSize = el banco entero (%u bytes)%s
 > слота %u → копия за слот → краш	 > slot %u → copy past the slot → crash	 > slot %u → copia fuera del slot → crash
%s: %u байт > размера слота %u — Service копирует rep movsd без сравнения со slot.size → переполнение следующих слотов	%s: %u bytes > slot size %u — Service copies with rep movsd without comparing against slot.size → overflows the following slots	%s: %u bytes > tamaño del slot %u — Service copia con rep movsd sin comparar con slot.size → desborda los slots siguientes
банк целиком в слот %d	whole bank into slot %d	banco entero al slot %d
dummy-банк машины в слоты 7..16	vehicle dummy bank into slots 7..16	banco dummy del vehículo a los slots 7..16
player-банк машины в слот 40	vehicle player bank into slot 40	banco player del vehículo al slot 40
mission-банк в слоты 26..29	mission bank into slots 26..29	banco de misión a los slots 26..29
mission-банк %u байт влезает только в слот 29 (%u), слоты 26..28 = %u — слот выбирает скрипт (ваниль: банки 35, 209, 339)	mission bank of %u bytes fits only slot 29 (%u), slots 26..28 = %u — the script chooses the slot (vanilla: banks 35, 209, 339)	banco de misión de %u bytes solo cabe en el slot 29 (%u), slots 26..28 = %u — el slot lo elige el script (vanilla: bancos 35, 209, 339)
самый большой звук PLY в слот 25	largest PLY sound into slot 25	sonido PLY más grande al slot 25
самый большой звук речи в слоты 20..24	largest speech sound into slots 20..24	sonido de voz más grande a los slots 20..24
звук сканера полиции в слоты 33..37	police scanner sound into slots 33..37	sonido del escáner de policía a los slots 33..37
звук сканера %u байт больше ванильного максимума банка %d (%d) — пара банк→слот строится динамически в AddAudioEvent	scanner sound of %u bytes exceeds the vanilla maximum of bank %d (%d) — the bank→slot pairing is built dynamically in AddAudioEvent	sonido del escáner de %u bytes supera el máximo vanilla del banco %d (%d) — el par banco→slot se construye dinámicamente en AddAudioEvent
script speech в слоты 26..29	script speech into slots 26..29	script speech a los slots 26..29
script speech %u байт влезает только в слот 29 (%u), слоты 26..28 = %u — слот выбирает скрипт	script speech of %u bytes fits only slot 29 (%u), slots 26..28 = %u — the script chooses the slot	script speech de %u bytes solo cabe en el slot 29 (%u), slots 26..28 = %u — el slot lo elige el script
loading tune (банк 82) в слоты 2/5	loading tune (bank 82) into slots 2/5	loading tune (banco 82) a los slots 2/5
StrmPaks.dat отсутствует — LoadStreamPackTable 0x4E0970 → 0 → краш инициализации аудио	StrmPaks.dat missing — LoadStreamPackTable 0x4E0970 → 0 → audio init crash	Falta StrmPaks.dat — LoadStreamPackTable 0x4E0970 → 0 → crash al inicializar el audio
StrmPaks.dat пуст — Initialise 0x4E0C76 делает lstrlen по Malloc(0): мусорный путь → OpenFile fail → return 0 → краш инициализации	StrmPaks.dat empty — Initialise 0x4E0C76 runs lstrlen on Malloc(0): garbage path → OpenFile fails → return 0 → init crash	StrmPaks.dat vacío — Initialise 0x4E0C76 hace lstrlen sobre Malloc(0): ruta basura → OpenFile falla → return 0 → crash de inicialización
запись %d без NUL в 16 байтах — имя склеивается со следующим → файл не найден	record %d without NUL within 16 bytes — the name is glued to the next one → file not found	registro %d sin NUL en 16 bytes — el nombre se pega al siguiente → archivo no encontrado
первый стрим-пак audio/streams/%s отсутствует — Initialise 0x4E0C50: OpenFile fail → DVD fail → return 0 → краш инициализации аудио	first stream pak audio/streams/%s missing — Initialise 0x4E0C50: OpenFile fails → DVD fails → return 0 → audio init crash	falta el primer stream pak audio/streams/%s — Initialise 0x4E0C50: OpenFile falla → DVD falla → return 0 → crash al inicializar el audio
TrakLkup.dat отсутствует — LoadTrackLookupTable 0x4E09F0 → 0 → краш инициализации аудио	TrakLkup.dat missing — LoadTrackLookupTable 0x4E09F0 → 0 → audio init crash	Falta TrakLkup.dat — LoadTrackLookupTable 0x4E09F0 → 0 → crash al inicializar el audio
размер %u не кратен 12	size %u not a multiple of 12	tamaño %u no múltiplo de 12
%d треков < 1922 — id треков радио/катсцен/эмбиента зашиты в exe: GetTrackInfo → NULL, треки ≥ %d немы	%d tracks < 1922 — radio/cutscene/ambience track ids are hard-coded in the exe: GetTrackInfo → NULL, tracks ≥ %d are mute	%d pistas < 1922 — los id de pistas de radio/cinemáticas/ambiente están fijos en el exe: GetTrackInfo → NULL, las pistas ≥ %d quedan mudas
трек %d: streamPakIndex %d ≥ числа стрим-паков %d — мусорное имя, CreateFileA fail, трек нем	track %d: streamPakIndex %d ≥ number of stream paks %d — garbage name, CreateFileA fails, track mute	pista %d: streamPakIndex %d ≥ número de stream paks %d — nombre basura, CreateFileA falla, pista muda
audio/streams/%s отсутствует, а на него ссылаются треки — CAEDataStream::Initialise fail → декодер выброшен, треки немы	audio/streams/%s missing while tracks reference it — CAEDataStream::Initialise fails → decoder discarded, tracks mute	falta audio/streams/%s aunque hay pistas que lo referencian — CAEDataStream::Initialise falla → decodificador descartado, pistas mudas
трек %d в %s: offset %u + 0x1F84 + %u > %llu	track %d in %s: offset %u + 0x1F84 + %u > %llu	pista %d en %s: offset %u + 0x1F84 + %u > %llu
трек %d в %s @%llu	track %d in %s @%llu	pista %d en %s @%llu
%d треков выходят за размер своего стрим-пака (первый: %s) — ReadFile 0 байт → Ogg sync fail → трек нем	%d tracks run past the size of their stream pak (first: %s) — ReadFile 0 bytes → Ogg sync fails → track mute	%d pistas sobrepasan el tamaño de su stream pak (primera: %s) — ReadFile 0 bytes → falla la sincronización Ogg → pista muda
На нестоковой установке (пустые стрим-паки, StrmPaks с перенаправлением) это ожидаемо.	Expected on a non-stock install (empty stream paks, redirected StrmPaks).	En una instalación no original (stream paks vacíos, StrmPaks redirigido) es lo esperado.
%d треков: расшифрованные байты по offset+0x1F84 ≠ «OggS» (первый: %s) — ov_open fail → трек нем	%d tracks: decrypted bytes at offset+0x1F84 ≠ «OggS» (first: %s) — ov_open fails → track mute	%d pistas: los bytes descifrados en offset+0x1F84 ≠ «OggS» (primera: %s) — ov_open falla → pista muda
Ключ XOR EA 3A C4 A1 9A A8 14 F3 48 B0 D7 23 9D E8 FF F1, индекс = смещение & 15. На установке с перенаправленным StrmPaks.dat (пустые стрим-паки) это ожидаемо.	XOR key EA 3A C4 A1 9A A8 14 F3 48 B0 D7 23 9D E8 FF F1, index = offset & 15. Expected on an install with a redirected StrmPaks.dat (empty stream paks).	Clave XOR EA 3A C4 A1 9A A8 14 F3 48 B0 D7 23 9D E8 FF F1, índice = offset & 15. En una instalación con StrmPaks.dat redirigido (stream paks vacíos) es lo esperado.
EventVol.dat %s — CAudioEngine::Initialise 0x5B9C60 выходит до инициализации сущностей: аудио сломано, возможный поздний краш	EventVol.dat %s — CAudioEngine::Initialise 0x5B9C60 returns before the entities are initialised: audio broken, possible later crash	EventVol.dat %s — CAudioEngine::Initialise 0x5B9C60 sale antes de inicializar las entidades: audio roto, posible crash posterior
короче 45401 байт (%llu)	shorter than 45401 bytes (%llu)	más corto que 45401 bytes (%llu)
отсутствует	missing	falta
id %d > 630 — CAEVehicleAudioEntity::Initialise 0x4F7670 копирует 36 байт из 0x860AF0+(id−400)×36 без проверки: за 231-й строкой лежит таблица байтов 0/1 → мусорный тип звука/банки/радио	id %d > 630 — CAEVehicleAudioEntity::Initialise 0x4F7670 copies 36 bytes from 0x860AF0+(id−400)×36 unchecked: past row 231 lies a 0/1 byte table → garbage sound type / banks / radio	id %d > 630 — CAEVehicleAudioEntity::Initialise 0x4F7670 copia 36 bytes desde 0x860AF0+(id−400)×36 sin comprobar: tras la fila 231 hay una tabla de bytes 0/1 → tipo de sonido / bancos / radio basura
id %d в 612..630 — ванильная запись-заглушка: soundType 10 (немой двигатель, без гудка и дверей)	id %d in 612..630 — vanilla placeholder row: soundType 10 (mute engine, no horn or doors)	id %d en 612..630 — fila vanilla de relleno: soundType 10 (motor mudo, sin bocina ni puertas)
id %d (ваниль %s): soundType 10 — немой двигатель, без гудка и дверей%s	id %d (vanilla %s): soundType 10 — mute engine, no horn or door sounds%s	id %d (vanilla %s): soundType 10 — motor mudo, sin bocina ni puertas%s
 — замена на этом id будет немой	 — a replacement on this id will be mute	 — un reemplazo en este id será mudo
id %d занимает место ванильной «%s»: звук берётся по id — тип %d, банки player %d / dummy %d, гудок %d, двери %d, радио %d/%d	id %d takes the place of vanilla «%s»: audio comes from the id — type %d, banks player %d / dummy %d, horn %d, doors %d, radio %d/%d	id %d ocupa el lugar del vanilla «%s»: el audio sale del id — tipo %d, bancos player %d / dummy %d, bocina %d, puertas %d, radio %d/%d
не CLUMP	not a CLUMP	no es CLUMP
нет STRUCT клампа	no clump STRUCT	sin STRUCT del clump
нет FRAMELIST	no FRAMELIST	sin FRAMELIST
FRAMELIST без STRUCT	FRAMELIST without STRUCT	FRAMELIST sin STRUCT
число фреймов вне разумного	frame count out of any reasonable range	número de frames fuera de lo razonable
FRAMELIST STRUCT обрезан	FRAMELIST STRUCT truncated	STRUCT de FRAMELIST truncado
нет GEOMETRYLIST	no GEOMETRYLIST	sin GEOMETRYLIST
GEOMETRYLIST без STRUCT	GEOMETRYLIST without STRUCT	GEOMETRYLIST sin STRUCT
число геометрий вне разумного	geometry count out of any reasonable range	número de geometrías fuera de lo razonable
GEOMETRY №%u не найдена	GEOMETRY #%u not found	GEOMETRY n.º %u no encontrada
Одежда CJ: player.img / clothes.dat	CJ clothes: player.img / clothes.dat	Ropa de CJ: player.img / clothes.dat
models/player.img не найден — CDirectory::ReadDirFile 0x532350 не проверяет fopen: каталог пуст, любая часть одежды → CLO-03 (чтение по мусорному offset/size) → краш/зависание при первом ребилде CJ	models/player.img not found — CDirectory::ReadDirFile 0x532350 does not check fopen: empty directory, any clothes part → CLO-03 (read at garbage offset/size) → crash/hang on the first CJ rebuild	models/player.img no encontrado — CDirectory::ReadDirFile 0x532350 no comprueba fopen: directorio vacío, cualquier prenda → CLO-03 (lectura con offset/size basura) → crash/cuelgue en la primera reconstrucción de CJ
player.img не VER2 — ReadDirFile читает 4 байта magic без проверки и число записей из следующих 4 байт → каталог из мусора	player.img is not VER2 — ReadDirFile reads 4 magic bytes unchecked and the entry count from the next 4 → garbage directory	player.img no es VER2 — ReadDirFile lee 4 bytes de magic sin comprobar y el número de entradas de los 4 siguientes → directorio basura
%d записей > 550 — CDirectory::Init(0x226): лишние записи выброшены («Too many objects without modelinfo structures»), обращение к ним → CLO-03/04 → краш	%d entries > 550 — CDirectory::Init(0x226): the extra entries are dropped («Too many objects without modelinfo structures»), using them → CLO-03/04 → crash	%d entradas > 550 — CDirectory::Init(0x226): las entradas sobrantes se descartan («Too many objects without modelinfo structures»), usarlas → CLO-03/04 → crash
Ваниль: 542 записи, свободно 8 слотов.	Vanilla: 542 entries, 8 free slots.	Vanilla: 542 entradas, 8 slots libres.
имя записи занимает все 24 байта без NUL — GetUppercaseKey 0x53CF30 читает до NUL в следующую запись: ключ никогда не совпадёт → CLO-03	entry name fills all 24 bytes without NUL — GetUppercaseKey 0x53CF30 reads up to a NUL in the next entry: the key never matches → CLO-03	el nombre de la entrada ocupa los 24 bytes sin NUL — GetUppercaseKey 0x53CF30 lee hasta un NUL de la entrada siguiente: la clave nunca coincide → CLO-03
streaming size (байты 4-5) = 0 — FindItem вернёт 0 секторов: чтение клампа проваливается → BlendGeometry(NULL)	streaming size (bytes 4-5) = 0 — FindItem returns 0 sectors: the clump read fails → BlendGeometry(NULL)	streaming size (bytes 4-5) = 0 — FindItem devuelve 0 sectores: la lectura del clump falla → BlendGeometry(NULL)
%u секторов > %u (наибольшая запись стрим-IMG, чётно) — player.img не поднимает ms_streamingBufferSize (AddImageToList(…,0)), ConvertBufferToObject читает size<<11 из общего буфера → переполнение	%u sectors > %u (largest streamed-IMG entry, rounded to even) — player.img does not raise ms_streamingBufferSize (AddImageToList(…,0)), ConvertBufferToObject reads size<<11 from the shared buffer → overflow	%u sectores > %u (entrada más grande de los IMG en streaming, redondeada a par) — player.img no eleva ms_streamingBufferSize (AddImageToList(…,0)), ConvertBufferToObject lee size<<11 del búfer compartido → desbordamiento
базовые TXD (0x8D0A4C)	base TXDs (0x8D0A4C)	TXD base (0x8D0A4C)
data/clothes.dat не найден — LoadClothesFile 0x5A7B30 не проверяет OpenFile → LoadLine(NULL) → краш при старте	data/clothes.dat not found — LoadClothesFile 0x5A7B30 does not check OpenFile → LoadLine(NULL) → crash at startup	data/clothes.dat no encontrado — LoadClothesFile 0x5A7B30 no comprueba OpenFile → LoadLine(NULL) → crash al arrancar
строка «%.40s» вне блока rule … end — игнорируется	line «%.40s» outside the rule … end block — ignored	línea «%.40s» fuera del bloque rule … end — ignorada
«%s» начинается со строчного «end» — strncmp("end",3) закрывает блок правил: все правила до следующего «rule» игнорируются (ваниль пишет ENDIGNORE/ENDEXCLUSIVE прописными)	«%s» starts with lowercase «end» — strncmp("end",3) closes the rule block: every rule up to the next «rule» is ignored (vanilla writes ENDIGNORE/ENDEXCLUSIVE in upper case)	«%s» empieza por «end» en minúsculas — strncmp("end",3) cierra el bloque de reglas: todas las reglas hasta el siguiente «rule» se ignoran (vanilla escribe ENDIGNORE/ENDEXCLUSIVE en mayúsculas)
неизвестное ключевое слово «%s» — тип правила наследуется от предыдущей строки (%s), аргументы читаются по его схеме	unknown keyword «%s» — the rule type is inherited from the previous line (%s), the arguments are read with its layout	palabra clave desconocida «%s» — el tipo de regla se hereda de la línea anterior (%s), los argumentos se leen con su esquema
на первой строке — мусор	garbage on the first line	basura en la primera línea
предыдущее правило	previous rule	regla anterior
%s: %d аргументов вместо %d — strtok вернёт NULL → GetUppercaseKey(NULL) 0x53CF36 mov al,[edi] → краш при первом ребилде CJ	%s: %d arguments instead of %d — strtok returns NULL → GetUppercaseKey(NULL) 0x53CF36 mov al,[edi] → crash on the first CJ rebuild	%s: %d argumentos en vez de %d — strtok devuelve NULL → GetUppercaseKey(NULL) 0x53CF36 mov al,[edi] → crash en la primera reconstrucción de CJ
компонент «%s» не из torso head hands legs feet necklace watch glasses hat extra1 (строчные, точно) — GetClothesModelFromName → 0 = torso	component «%s» not one of torso head hands legs feet necklace watch glasses hat extra1 (lowercase, exact) — GetClothesModelFromName → 0 = torso	componente «%s» no es uno de torso head hands legs feet necklace watch glasses hat extra1 (minúsculas, exacto) — GetClothesModelFromName → 0 = torso
clothes.dat SETC (строка %d)	clothes.dat SETC (line %d)	clothes.dat SETC (línea %d)
clothes.dat CUTS (строка %d)	clothes.dat CUTS (line %d)	clothes.dat CUTS (línea %d)
clothes.dat TEX (строка %d)	clothes.dat TEX (line %d)	clothes.dat TEX (línea %d)
9-й одновременно активный тег %s «%s» — PreprocessClothesDesc local_20[8]: тег молча не регистрируется	9th simultaneously active tag %s «%s» — PreprocessClothesDesc local_20[8]: the tag is silently not registered	9.ª etiqueta %s «%s» activa a la vez — PreprocessClothesDesc local_20[8]: la etiqueta no se registra en silencio
%d слов правил > 600 — ms_clothesRules 0xBC1300 переполнен (с 607 затирается ms_lastClothesDesc, с 636 — g_bCutSceneFinishing и состояние катсцен)	%d rule words > 600 — ms_clothesRules 0xBC1300 overflows (from 607 ms_lastClothesDesc is overwritten, from 636 g_bCutSceneFinishing and the cutscene state)	%d palabras de reglas > 600 — ms_clothesRules 0xBC1300 se desborda (desde 607 se sobrescribe ms_lastClothesDesc, desde 636 g_bCutSceneFinishing y el estado de las cinemáticas)
Ваниль — 587 слов (SETC 5, CUTS/TEX/HIDE 3, прочие 2).	Vanilla — 587 words (SETC 5, CUTS/TEX/HIDE 3, others 2).	Vanilla — 587 palabras (SETC 5, CUTS/TEX/HIDE 3, resto 2).
%d слов правил из 600	%d rule words out of 600	%d palabras de reglas de 600
shopping.dat %s (строка %d)	shopping.dat %s (line %d)	shopping.dat %s (línea %d)
texturename «%s» длиннее 19 — «%s.TXD» не влезает в 24-байтовое имя записи player.img	texturename «%s» longer than 19 — «%s.TXD» does not fit the 24-byte player.img entry name	texturename «%s» de más de 19 — «%s.TXD» no cabe en el nombre de 24 bytes de la entrada de player.img
modelname «%s» длиннее 19	modelname «%s» longer than 19	modelname «%s» de más de 19
type %d не из {0,1,2,3,13..17} — SetTextureAndModel 0x5A8050 пишет textures[type] за пределами CPedClothesDesc (18 слотов)	type %d not in {0,1,2,3,13..17} — SetTextureAndModel 0x5A8050 writes textures[type] outside CPedClothesDesc (18 slots)	type %d no está en {0,1,2,3,13..17} — SetTextureAndModel 0x5A8050 escribe textures[type] fuera de CPedClothesDesc (18 slots)
Tattoos type1 %d не в 4..12 — LoadPrices case 6 хэширует 4-й токен «%s» в models[GetTextureDependency(%d)]: ищется DFF с таким именем → CLO-03 → краш	Tattoos type1 %d not in 4..12 — LoadPrices case 6 hashes the 4th token «%s» into models[GetTextureDependency(%d)]: a DFF of that name is looked up → CLO-03 → crash	Tattoos type1 %d no está en 4..12 — LoadPrices case 6 hashea el 4.º token «%s» en models[GetTextureDependency(%d)]: se busca un DFF con ese nombre → CLO-03 → crash
Tattoos type1 «-» = −1 — слот текстуры −1, татуировка не применяется	Tattoos type1 «-» = −1 — texture slot −1, the tattoo is never applied	Tattoos type1 «-» = −1 — slot de textura −1, el tatuaje no se aplica
нет «%s.dff» в player.img (используется: %s) — FindItem промахивается, но ConstructGeometryArray 0x5A55A0 не проверяет результат: RequestFile с неинициализированным offset/size → чтение за EOF (зависание стриминга) или BlendGeometry(NULL) → краш при ребилде CJ	no «%s.dff» in player.img (used by: %s) — FindItem misses, but ConstructGeometryArray 0x5A55A0 ignores the result: RequestFile with an uninitialised offset/size → read past EOF (streaming hang) or BlendGeometry(NULL) → crash on the CJ rebuild	no hay «%s.dff» en player.img (lo usa: %s) — FindItem falla, pero ConstructGeometryArray 0x5A55A0 ignora el resultado: RequestFile con offset/size sin inicializar → lectura más allá del EOF (cuelgue del streaming) o BlendGeometry(NULL) → crash al reconstruir a CJ
нет «%s.txd» в player.img (используется: %s) — RequestTexture 0x5A4220 с мусорным offset/size → словарь NULL → RwTexDictionaryFindNamedTexture/GetFirstTexture(NULL) → CopyTexture mov ebx,[eax] → краш	no «%s.txd» in player.img (used by: %s) — RequestTexture 0x5A4220 with a garbage offset/size → NULL dictionary → RwTexDictionaryFindNamedTexture/GetFirstTexture(NULL) → CopyTexture mov ebx,[eax] → crash	no hay «%s.txd» en player.img (lo usa: %s) — RequestTexture 0x5A4220 con offset/size basura → diccionario NULL → RwTexDictionaryFindNamedTexture/GetFirstTexture(NULL) → CopyTexture mov ebx,[eax] → crash
CLUMP №%d не разбирается (%s) — RpClumpStreamRead вернёт 0 → LoadClumpFile (флаг 2) прекращает чтение, часть не загружена → BlendGeometry(NULL) → краш	CLUMP #%d does not parse (%s) — RpClumpStreamRead returns 0 → LoadClumpFile (flag 2) stops reading, the part is not loaded → BlendGeometry(NULL) → crash	el CLUMP n.º %d no se puede analizar (%s) — RpClumpStreamRead devuelve 0 → LoadClumpFile (flag 2) deja de leer, la prenda no se carga → BlendGeometry(NULL) → crash
в записи нет ни одного CLUMP — часть не загружается → BlendGeometry(NULL) → краш	the entry holds no CLUMP at all — the part never loads → BlendGeometry(NULL) → crash	la entrada no contiene ningún CLUMP — la prenda nunca carga → BlendGeometry(NULL) → crash
%d CLUMP в записи (ваниль всегда 3: normal / fat / ripped по одному атомику)	%d CLUMPs in the entry (vanilla always 3: normal / fat / ripped with one atomic each)	%d CLUMP en la entrada (vanilla siempre 3: normal / fat / ripped con un atomic cada uno)
